,degree_i,degree_j,volume_i,volume_j,shortest_path,katz_i,katz_j,pref_attach,pagerank_i,pagerank_j,label,common_neighbors,adamic_adar,jaccard
"(1, 54)",44,27,44,27,3,0.06774632287313982,-0.02373915086662572,1188,0.012217055775896234,0.008952812229637529,0,8,2.0723404470007862,0.12698412698412698
"(1, 55)",44,11,44,11,2,0.06774632287313982,-0.07674783943269976,484,0.012217055775896234,0.0016927419201901094,0,6,1.6040271072652867,0.12244897959183673
"(1, 56)",44,22,44,22,4,0.06774632287313982,0.002646586517300552,968,0.012217055775896234,0.013054867574456203,0,5,1.2799954121184327,0.08196721311475409
"(1, 59)",44,39,44,39,3,0.06774632287313982,0.06454949538012547,1716,0.012217055775896234,0.013465655222941878,0,15,3.852401275230185,0.22058823529411764
"(1, 61)",44,32,44,32,3,0.06774632287313982,0.07690134116363828,1408,0.012217055775896234,0.005698078387562628,0,12,3.1415911626967503,0.1875
"(1, 63)",44,21,44,21,3,0.06774632287313982,-0.06869161484850814,924,0.012217055775896234,0.0026372713222390255,0,13,3.29786472772465,0.25
"(1, 64)",44,33,44,33,3,0.06774632287313982,-0.12658659863477614,1452,0.012217055775896234,0.0053678971536173115,0,24,6.104407725528189,0.4528301886792453
"(1, 67)",44,1,44,1,234,0.06774632287313982,-0.15136274630822874,44,0.012217055775896234,0.0016600566844636574,0,1,0.2442393366759723,0.022727272727272728
"(1, 68)",44,63,44,63,3,0.06774632287313982,0.004971006911378348,2772,0.012217055775896234,0.0303229915457945,0,38,9.799779623795079,0.5507246376811594
"(1, 70)",44,20,44,20,3,0.06774632287313982,-0.21597393395202882,880,0.012217055775896234,0.0023515568476399243,0,11,2.8643109987167374,0.20754716981132076
"(1, 74)",44,58,44,58,2,0.06774632287313982,0.13077537621570726,2552,0.012217055775896234,0.004129630958886724,0,36,9.229296291906186,0.5454545454545454
"(1, 76)",44,17,44,17,4,0.06774632287313982,-0.17877630667660016,748,0.012217055775896234,0.007128924614166462,0,12,2.960298567994241,0.24489795918367346
"(1, 77)",44,4,44,4,6,0.06774632287313982,-0.1515162824491454,176,0.012217055775896234,0.0025413154528118906,0,4,0.9763712898642,0.09090909090909091
"(1, 79)",44,1,44,1,205,0.06774632287313982,-0.15136274630822857,44,0.012217055775896234,0.0016498741296357981,0,1,0.2442393366759723,0.022727272727272728
"(1, 80)",44,18,44,18,4,0.06774632287313982,-0.17905863273285197,792,0.012217055775896234,0.0029277160205588414,0,9,2.2297617813415527,0.16981132075471697
"(1, 82)",44,23,44,23,3,0.06774632287313982,-0.05299756294086273,1012,0.012217055775896234,0.0022382897043224247,0,18,4.570725982851066,0.3673469387755102
"(1, 83)",44,41,44,41,2,0.06774632287313982,-0.08701192598488124,1804,0.012217055775896234,0.00533605223255392,0,23,5.827088589457196,0.3709677419354839
"(1, 84)",44,15,44,15,4,0.06774632287313982,-0.15603344410134098,660,0.012217055775896234,0.009900634666588823,0,12,3.024245276719814,0.2553191489361702
"(1, 85)",44,33,44,33,3,0.06774632287313982,-0.0689753440403531,1452,0.012217055775896234,0.008313105184845444,0,21,5.257615503937122,0.375
"(1, 86)",44,34,44,34,3,0.06774632287313982,0.034961902613837845,1496,0.012217055775896234,0.012849224286178617,0,25,6.392104656888144,0.4716981132075472
"(1, 87)",44,35,44,35,2,0.06774632287313982,0.04224209772353965,1540,0.012217055775896234,0.005783836345813155,0,12,3.171372071748779,0.1791044776119403
"(1, 88)",44,10,44,10,3,0.06774632287313982,-0.0632089245404347,440,0.012217055775896234,0.0038597442828104678,0,4,1.066629954675856,0.08
"(1, 89)",44,17,44,17,3,0.06774632287313982,-0.01471442053601086,748,0.012217055775896234,0.008470081875506248,0,7,1.8774957770521745,0.12962962962962962
"(1, 90)",44,34,44,34,2,0.06774632287313982,-0.004731731552189455,1496,0.012217055775896234,0.013109174572331685,0,13,3.4985883757113445,0.2
"(1, 92)",44,1,44,1,2493,0.06774632287313982,-0.15136274630822863,44,0.012217055775896234,0.002453242593295883,0,1,0.2442393366759723,0.022727272727272728
"(1, 93)",44,5,44,5,5,0.06774632287313982,-0.16667988666042818,220,0.012217055775896234,0.002810288809925016,0,3,0.7269637360980232,0.06521739130434782
"(1, 94)",44,27,44,27,4,0.06774632287313982,-0.04988503809098313,1188,0.012217055775896234,0.006816455840012479,0,18,4.577580283505718,0.33962264150943394
"(2, 15)",48,60,48,60,5,0.04929407018526694,-0.12099160405763681,2880,0.013049500218014194,0.037839550539614755,0,35,9.014141267636967,0.4794520547945205
"(2, 17)",48,41,48,41,4,0.04929407018526694,0.1391955818852807,1968,0.013049500218014194,0.01617795413120586,0,20,5.1002595688550905,0.2898550724637681
"(2, 19)",48,42,48,42,4,0.04929407018526694,0.15988795508238615,2016,0.013049500218014194,0.009736697121313977,0,32,8.112138301200089,0.5517241379310345
"(2, 22)",48,27,48,27,3,0.04929407018526694,0.11257220192858998,1296,0.013049500218014194,0.0023990720289550735,0,10,2.5133127453402,0.15384615384615385
"(2, 23)",48,48,48,48,3,0.04929407018526694,0.15603689811132126,2304,0.013049500218014194,0.00656910713827568,0,26,6.712341357486347,0.37142857142857144
"(2, 24)",48,20,48,20,3,0.04929407018526694,0.014725607996781504,960,0.013049500218014194,0.005181840498528412,0,9,2.2689452381126216,0.15254237288135594
"(2, 25)",48,48,48,48,3,0.04929407018526694,0.08047549048539951,2304,0.013049500218014194,0.0090648480114456,0,31,8.016917065840342,0.47692307692307695
"(2, 26)",48,20,48,20,3,0.04929407018526694,0.05715634595388959,960,0.013049500218014194,0.004654418996974305,0,9,2.2733796843824443,0.15254237288135594
"(2, 27)",48,55,48,55,2,0.04929407018526694,0.1391471136467677,2640,0.013049500218014194,0.015016180247821758,0,36,9.169510691627615,0.5373134328358209
"(2, 32)",48,44,48,44,3,0.04929407018526694,0.061647928271053934,2112,0.013049500218014194,0.009885917992556522,0,17,4.248648022917996,0.22666666666666666
"(2, 34)",48,33,48,33,3,0.04929407018526694,0.11534713721995514,1584,0.013049500218014194,0.013104771142132876,0,13,3.2564659104187292,0.19117647058823528
"(2, 36)",48,36,48,36,3,0.04929407018526694,0.1286210485361587,1728,0.013049500218014194,0.005564372008647704,0,13,3.320159394992726,0.18309859154929578
"(2, 37)",48,9,48,9,3,0.04929407018526694,-0.0844943474995919,432,0.013049500218014194,0.00984841084713957,0,5,1.2568281735482416,0.09615384615384616
"(2, 39)",48,27,48,27,3,0.04929407018526694,0.01610384994439323,1296,0.013049500218014194,0.015748365906096178,0,11,2.9655964600409614,0.171875
"(2, 40)",48,27,48,27,4,0.04929407018526694,-0.0043322499475773775,1296,0.013049500218014194,0.016644034936211135,0,10,2.556063649104142,0.15384615384615385
"(2, 45)",48,19,48,19,3,0.04929407018526694,-0.1637867252516863,912,0.013049500218014194,0.0018164287865699725,0,13,3.3777274446303576,0.24074074074074073
"(2, 49)",48,14,48,14,4,0.04929407018526694,-0.19539257389008485,672,0.013049500218014194,0.016932565008387346,0,11,2.9914339876332257,0.21568627450980393
"(2, 50)",48,4,48,4,4,0.04929407018526694,-0.13156831667975658,192,0.013049500218014194,0.0015806009339959955,0,2,0.47913232557252433,0.04
"(2, 51)",48,36,48,36,3,0.04929407018526694,0.11537787181217882,1728,0.013049500218014194,0.01502923767778599,0,14,3.712290852885313,0.2
"(2, 52)",48,39,48,39,2,0.04929407018526694,0.08046658007490012,1872,0.013049500218014194,0.011821562178836413,0,18,4.769126085146992,0.2608695652173913
"(2, 53)",48,5,48,5,3,0.04929407018526694,-0.10108798080157545,240,0.013049500218014194,0.0015810468966275886,0,4,1.0040739559331329,0.08163265306122448
"(2, 54)",48,27,48,27,2,0.04929407018526694,-0.02373915086662572,1296,0.013049500218014194,0.008952812229637529,0,9,2.33498697638591,0.13636363636363635
"(2, 55)",48,11,48,11,4,0.04929407018526694,-0.07674783943269976,528,0.013049500218014194,0.0016927419201901094,0,5,1.2524946664191514,0.09259259259259259
"(2, 56)",48,22,48,22,4,0.04929407018526694,0.002646586517300552,1056,0.013049500218014194,0.013054867574456203,0,7,1.927092885496121,0.1111111111111111
"(2, 57)",48,18,48,18,3,0.04929407018526694,-0.03445513809209324,864,0.013049500218014194,0.003132998910066535,0,6,1.5439414699394183,0.1
"(2, 59)",48,39,48,39,2,0.04929407018526694,0.06454949538012547,1872,0.013049500218014194,0.013465655222941878,0,19,4.780776250781967,0.27941176470588236
"(2, 61)",48,32,48,32,3,0.04929407018526694,0.07690134116363828,1536,0.013049500218014194,0.005698078387562628,0,11,2.7399575466631583,0.15942028985507245
"(2, 63)",48,21,48,21,4,0.04929407018526694,-0.06869161484850814,1008,0.013049500218014194,0.0026372713222390255,0,14,3.5336716814489826,0.2545454545454545
"(2, 64)",48,33,48,33,3,0.04929407018526694,-0.12658659863477614,1584,0.013049500218014194,0.0053678971536173115,0,26,6.7512747968069995,0.4727272727272727
"(2, 66)",48,42,48,42,2,0.04929407018526694,0.033692238823521466,2016,0.013049500218014194,0.009284273547247729,0,32,8.254412655676575,0.5517241379310345
"(2, 71)",48,24,48,24,3,0.04929407018526694,-0.17309712969980223,1152,0.013049500218014194,0.0024904966637493446,0,17,4.490088158000867,0.3090909090909091
"(2, 72)",48,54,48,54,4,0.04929407018526694,0.026730209918263984,2592,0.013049500218014194,0.01918342422988824,0,41,10.586153227102411,0.6721311475409836
"(2, 76)",48,17,48,17,4,0.04929407018526694,-0.17877630667660016,816,0.013049500218014194,0.007128924614166462,0,11,2.706731971188547,0.2037037037037037
"(2, 77)",48,4,48,4,6,0.04929407018526694,-0.1515162824491454,192,0.013049500218014194,0.0025413154528118906,0,3,0.7321319531882277,0.061224489795918366
"(2, 80)",48,18,48,18,3,0.04929407018526694,-0.17905863273285197,864,0.013049500218014194,0.0029277160205588414,0,12,3.0658797694711213,0.2222222222222222
"(2, 83)",48,41,48,41,3,0.04929407018526694,-0.08701192598488124,1968,0.013049500218014194,0.00533605223255392,0,27,6.860788617999936,0.43548387096774194
"(2, 84)",48,15,48,15,4,0.04929407018526694,-0.15603344410134098,720,0.013049500218014194,0.009900634666588823,0,12,3.024245276719814,0.23529411764705882
"(2, 85)",48,33,48,33,3,0.04929407018526694,-0.0689753440403531,1584,0.013049500218014194,0.008313105184845444,0,24,6.012247109978226,0.42105263157894735
"(2, 87)",48,35,48,35,2,0.04929407018526694,0.04224209772353965,1680,0.013049500218014194,0.005783836345813155,0,14,3.8535218357363012,0.2028985507246377
"(2, 89)",48,17,48,17,3,0.04929407018526694,-0.01471442053601086,816,0.013049500218014194,0.008470081875506248,0,6,1.5085155585410845,0.1016949152542373
"(2, 90)",48,34,48,34,3,0.04929407018526694,-0.004731731552189455,1632,0.013049500218014194,0.013109174572331685,0,8,2.0515827298933695,0.10810810810810811
"(2, 93)",48,5,48,5,5,0.04929407018526694,-0.16667988666042818,240,0.013049500218014194,0.002810288809925016,0,3,0.7269637360980232,0.06
"(2, 94)",48,27,48,27,3,0.04929407018526694,-0.04988503809098313,1296,0.013049500218014194,0.006816455840012479,0,18,4.512595663603598,0.3157894736842105
"(3, 9)",56,28,56,28,3,0.04760061282566614,-0.06289839233442372,1568,0.030261871706370982,0.006380857968704907,0,25,6.479931850898784,0.423728813559322
"(3, 18)",56,49,56,49,2,0.04760061282566614,0.14648425445174268,2744,0.030261871706370982,0.00855975422911328,1,38,9.672615184704474,0.5671641791044776
"(3, 22)",56,27,56,27,2,0.04760061282566614,0.11257220192858998,1512,0.030261871706370982,0.0023990720289550735,0,18,4.681481475966564,0.27692307692307694
"(3, 26)",56,20,56,20,2,0.04760061282566614,0.05715634595388959,1120,0.030261871706370982,0.004654418996974305,1,11,2.802304734886973,0.16923076923076924
"(3, 29)",56,52,56,52,3,0.04760061282566614,0.12809707168526835,2912,0.030261871706370982,0.00818187185509321,1,40,10.377412419964166,0.5882352941176471
"(3, 30)",56,56,56,56,3,0.04760061282566614,0.21832947788634705,3136,0.030261871706370982,0.015560866671361844,0,39,10.3507706730356,0.5342465753424658
"(3, 34)",56,33,56,33,3,0.04760061282566614,0.11534713721995514,1848,0.030261871706370982,0.013104771142132876,0,20,5.3985474766793216,0.2898550724637681
"(3, 36)",56,36,56,36,3,0.04760061282566614,0.1286210485361587,2016,0.030261871706370982,0.005564372008647704,0,22,6.002916120217116,0.3142857142857143
"(3, 37)",56,9,56,9,3,0.04760061282566614,-0.0844943474995919,504,0.030261871706370982,0.00984841084713957,0,5,1.307156379813204,0.08333333333333333
"(3, 42)",56,40,56,40,3,0.04760061282566614,0.017841080666253596,2240,0.030261871706370982,0.012350090958383695,1,33,8.425584132716237,0.5238095238095238
"(3, 45)",56,19,56,19,3,0.04760061282566614,-0.1637867252516863,1064,0.030261871706370982,0.0018164287865699725,0,17,4.492776603838696,0.29310344827586204
"(3, 47)",56,31,56,31,2,0.04760061282566614,-0.03147632839936429,1736,0.030261871706370982,0.0024345533652017025,1,25,6.359746799288448,0.4032258064516129
"(3, 48)",56,18,56,18,3,0.04760061282566614,-0.19696302567166538,1008,0.030261871706370982,0.017702189969502024,0,14,3.648363255869609,0.23333333333333334
"(3, 49)",56,14,56,14,2,0.04760061282566614,-0.19539257389008485,784,0.030261871706370982,0.016932565008387346,1,8,2.012428418164204,0.12903225806451613
"(3, 50)",56,4,56,4,4,0.04760061282566614,-0.13156831667975658,224,0.030261871706370982,0.0015806009339959955,0,3,0.7233716622484967,0.05263157894736842
"(3, 51)",56,36,56,36,2,0.04760061282566614,0.11537787181217882,2016,0.030261871706370982,0.01502923767778599,1,24,6.253736531877399,0.35294117647058826
"(3, 53)",56,5,56,5,3,0.04760061282566614,-0.10108798080157545,280,0.030261871706370982,0.0015810468966275886,0,4,0.9700379785110113,0.07017543859649122
"(3, 54)",56,27,56,27,3,0.04760061282566614,-0.02373915086662572,1512,0.030261871706370982,0.008952812229637529,0,16,4.3769449959198585,0.23880597014925373
"(3, 55)",56,11,56,11,4,0.04760061282566614,-0.07674783943269976,616,0.030261871706370982,0.0016927419201901094,0,6,1.5125658746331,0.09836065573770492
"(3, 56)",56,22,56,22,4,0.04760061282566614,0.002646586517300552,1232,0.030261871706370982,0.013054867574456203,1,13,3.433212878581891,0.2
"(3, 57)",56,18,56,18,3,0.04760061282566614,-0.03445513809209324,1008,0.030261871706370982,0.003132998910066535,0,10,2.7333402979698045,0.15625
"(3, 60)",56,44,56,44,4,0.04760061282566614,0.058999787009906886,2464,0.030261871706370982,0.010344869759396611,1,37,9.463500638202333,0.5873015873015873
"(3, 61)",56,32,56,32,3,0.04760061282566614,0.07690134116363828,1792,0.030261871706370982,0.005698078387562628,1,22,5.963141471384379,0.3333333333333333
"(3, 67)",56,1,56,1,236,0.04760061282566614,-0.15136274630822874,56,0.030261871706370982,0.0016600566844636574,1,1,0.2442393366759723,0.017857142857142856
"(3, 70)",56,20,56,20,2,0.04760061282566614,-0.21597393395202882,1120,0.030261871706370982,0.0023515568476399243,0,14,3.5722142203654954,0.22580645161290322
"(3, 71)",56,24,56,24,2,0.04760061282566614,-0.17309712969980223,1344,0.030261871706370982,0.0024904966637493446,0,18,4.5824533277901045,0.2903225806451613
"(3, 75)",56,41,56,41,4,0.04760061282566614,0.05128154491929968,2296,0.030261871706370982,0.002572664913302391,0,36,9.217911252054545,0.5901639344262295
"(3, 77)",56,4,56,4,5,0.04760061282566614,-0.1515162824491454,224,0.030261871706370982,0.0025413154528118906,1,4,0.9763712898642,0.07142857142857142
"(3, 79)",56,1,56,1,207,0.04760061282566614,-0.15136274630822857,56,0.030261871706370982,0.0016498741296357981,1,1,0.2442393366759723,0.017857142857142856
"(3, 82)",56,23,56,23,3,0.04760061282566614,-0.05299756294086273,1288,0.030261871706370982,0.0022382897043224247,1,17,4.305424975671835,0.27419354838709675
"(3, 86)",56,34,56,34,2,0.04760061282566614,0.034961902613837845,1904,0.030261871706370982,0.012849224286178617,1,29,7.29099872498643,0.47540983606557374
"(3, 87)",56,35,56,35,3,0.04760061282566614,0.04224209772353965,1960,0.030261871706370982,0.005783836345813155,1,19,5.157411946355716,0.2638888888888889
"(3, 88)",56,10,56,10,3,0.04760061282566614,-0.0632089245404347,560,0.030261871706370982,0.0038597442828104678,0,5,1.358879615241186,0.08196721311475409
"(3, 90)",56,34,56,34,3,0.04760061282566614,-0.004731731552189455,1904,0.030261871706370982,0.013109174572331685,0,19,5.280069832567831,0.2676056338028169
"(3, 91)",56,30,56,30,3,0.04760061282566614,-0.04636211237860959,1680,0.030261871706370982,0.0026648427537498956,1,22,5.638089416207482,0.34375
"(3, 92)",56,1,56,1,2495,0.04760061282566614,-0.15136274630822863,56,0.030261871706370982,0.002453242593295883,0,1,0.2442393366759723,0.017857142857142856
"(3, 93)",56,5,56,5,4,0.04760061282566614,-0.16667988666042818,280,0.030261871706370982,0.002810288809925016,0,5,1.2822459116650886,0.08928571428571429
"(3, 94)",56,27,56,27,4,0.04760061282566614,-0.04988503809098313,1512,0.030261871706370982,0.006816455840012479,1,24,6.266706209789654,0.4067796610169492
"(4, 1)",51,44,51,44,4,0.08962406629893069,0.06774632287313982,2244,0.023035062482267835,0.012217055775896234,0,35,8.929476769207508,0.5833333333333334
"(4, 6)",51,47,51,47,3,0.08962406629893069,0.061026960819897696,2397,0.023035062482267835,0.011799111356367131,1,38,9.635771413782937,0.6333333333333333
"(4, 9)",51,28,51,28,3,0.08962406629893069,-0.06289839233442372,1428,0.023035062482267835,0.006380857968704907,0,23,5.8866302759215685,0.4107142857142857
"(4, 17)",51,41,51,41,4,0.08962406629893069,0.1391955818852807,2091,0.023035062482267835,0.01617795413120586,0,23,5.882026150260707,0.3333333333333333
"(4, 20)",51,43,51,43,5,0.08962406629893069,0.12641129374366503,2193,0.023035062482267835,0.013792676445456682,1,29,7.378927523609303,0.4461538461538462
"(4, 22)",51,27,51,27,3,0.08962406629893069,0.11257220192858998,1377,0.023035062482267835,0.0023990720289550735,0,16,4.1130811026497405,0.25806451612903225
"(4, 24)",51,20,51,20,4,0.08962406629893069,0.014725607996781504,1020,0.023035062482267835,0.005181840498528412,0,12,3.086221092832022,0.2033898305084746
"(4, 26)",51,20,51,20,3,0.08962406629893069,0.05715634595388959,1020,0.023035062482267835,0.004654418996974305,0,12,3.059684814454135,0.2033898305084746
"(4, 32)",51,44,51,44,2,0.08962406629893069,0.061647928271053934,2244,0.023035062482267835,0.009885917992556522,0,27,6.987561164365681,0.39705882352941174
"(4, 36)",51,36,51,36,3,0.08962406629893069,0.1286210485361587,1836,0.023035062482267835,0.005564372008647704,0,18,4.62591364850706,0.2608695652173913
"(4, 37)",51,9,51,9,4,0.08962406629893069,-0.0844943474995919,459,0.023035062482267835,0.00984841084713957,0,6,1.542827841050916,0.1111111111111111
"(4, 39)",51,27,51,27,3,0.08962406629893069,0.01610384994439323,1377,0.023035062482267835,0.015748365906096178,0,13,3.3618059510942366,0.2
"(4, 40)",51,27,51,27,3,0.08962406629893069,-0.0043322499475773775,1377,0.023035062482267835,0.016644034936211135,0,12,3.0910157486658747,0.18181818181818182
"(4, 48)",51,18,51,18,5,0.08962406629893069,-0.19696302567166538,918,0.023035062482267835,0.017702189969502024,0,13,3.3277562960672573,0.23214285714285715
"(4, 49)",51,14,51,14,4,0.08962406629893069,-0.19539257389008485,714,0.023035062482267835,0.016932565008387346,0,9,2.3322934073256167,0.16071428571428573
"(4, 50)",51,4,51,4,4,0.08962406629893069,-0.13156831667975658,204,0.023035062482267835,0.0015806009339959955,0,3,0.7233716622484967,0.057692307692307696
"(4, 51)",51,36,51,36,3,0.08962406629893069,0.11537787181217882,1836,0.023035062482267835,0.01502923767778599,0,20,5.114376696599243,0.29850746268656714
"(4, 53)",51,5,51,5,4,0.08962406629893069,-0.10108798080157545,255,0.023035062482267835,0.0015810468966275886,0,5,1.2536164705623447,0.09803921568627451
"(4, 54)",51,27,51,27,3,0.08962406629893069,-0.02373915086662572,1377,0.023035062482267835,0.008952812229637529,0,12,3.0894468168928,0.18181818181818182
"(4, 55)",51,11,51,11,4,0.08962406629893069,-0.07674783943269976,561,0.023035062482267835,0.0016927419201901094,0,7,1.7827336705977976,0.12727272727272726
"(4, 56)",51,22,51,22,4,0.08962406629893069,0.002646586517300552,1122,0.023035062482267835,0.013054867574456203,1,10,2.5412723478949655,0.15873015873015872
"(4, 57)",51,18,51,18,5,0.08962406629893069,-0.03445513809209324,918,0.023035062482267835,0.003132998910066535,0,7,1.8170089389161648,0.11290322580645161
"(4, 61)",51,32,51,32,3,0.08962406629893069,0.07690134116363828,1632,0.023035062482267835,0.005698078387562628,0,16,4.076104959212131,0.23880597014925373
"(4, 63)",51,21,51,21,3,0.08962406629893069,-0.06869161484850814,1071,0.023035062482267835,0.0026372713222390255,0,16,4.033091565191607,0.2857142857142857
"(4, 64)",51,33,51,33,3,0.08962406629893069,-0.12658659863477614,1683,0.023035062482267835,0.0053678971536173115,0,28,7.140172775930895,0.5
"(4, 66)",51,42,51,42,4,0.08962406629893069,0.033692238823521466,2142,0.023035062482267835,0.009284273547247729,1,32,8.171192772262016,0.5245901639344263
"(4, 67)",51,1,51,1,236,0.08962406629893069,-0.15136274630822874,51,0.023035062482267835,0.0016600566844636574,0,1,0.2442393366759723,0.0196078431372549
"(4, 70)",51,20,51,20,2,0.08962406629893069,-0.21597393395202882,1020,0.023035062482267835,0.0023515568476399243,0,16,4.211580835883872,0.2909090909090909
"(4, 75)",51,41,51,41,4,0.08962406629893069,0.05128154491929968,2091,0.023035062482267835,0.002572664913302391,1,34,8.664312264109409,0.5862068965517241
"(4, 76)",51,17,51,17,2,0.08962406629893069,-0.17877630667660016,867,0.023035062482267835,0.007128924614166462,0,16,4.09656715376569,0.3076923076923077
"(4, 77)",51,4,51,4,6,0.08962406629893069,-0.1515162824491454,204,0.023035062482267835,0.0025413154528118906,0,4,0.9763712898642,0.0784313725490196
"(4, 79)",51,1,51,1,207,0.08962406629893069,-0.15136274630822857,51,0.023035062482267835,0.0016498741296357981,0,1,0.2442393366759723,0.0196078431372549
"(4, 80)",51,18,51,18,2,0.08962406629893069,-0.17905863273285197,918,0.023035062482267835,0.0029277160205588414,0,15,3.792383445862363,0.2777777777777778
"(4, 84)",51,15,51,15,2,0.08962406629893069,-0.15603344410134098,765,0.023035062482267835,0.009900634666588823,0,13,3.3330494281789003,0.24528301886792453
"(4, 87)",51,35,51,35,3,0.08962406629893069,0.04224209772353965,1785,0.023035062482267835,0.005783836345813155,0,14,3.6303105469842105,0.19444444444444445
"(4, 88)",51,10,51,10,4,0.08962406629893069,-0.0632089245404347,510,0.023035062482267835,0.0038597442828104678,0,4,1.0380194524225241,0.07017543859649122
"(4, 89)",51,17,51,17,5,0.08962406629893069,-0.01471442053601086,867,0.023035062482267835,0.008470081875506248,0,8,2.067473646453156,0.13333333333333333
"(4, 90)",51,34,51,34,4,0.08962406629893069,-0.004731731552189455,1734,0.023035062482267835,0.013109174572331685,0,13,3.440144914420652,0.18055555555555555
"(4, 91)",51,30,51,30,4,0.08962406629893069,-0.04636211237860959,1530,0.023035062482267835,0.0026648427537498956,0,22,5.7251181168690515,0.3728813559322034
"(4, 92)",51,1,51,1,2495,0.08962406629893069,-0.15136274630822863,51,0.023035062482267835,0.002453242593295883,0,1,0.2442393366759723,0.0196078431372549
"(4, 93)",51,5,51,5,6,0.08962406629893069,-0.16667988666042818,255,0.023035062482267835,0.002810288809925016,0,5,1.2822459116650886,0.09803921568627451
"(4, 94)",51,27,51,27,4,0.08962406629893069,-0.04988503809098313,1377,0.023035062482267835,0.006816455840012479,0,22,5.5388015859352935,0.39285714285714285
"(4, 95)",51,33,51,33,5,0.08962406629893069,0.04408846015561828,1683,0.023035062482267835,0.0022446265760859624,0,28,7.062434770766736,0.5
"(5, 15)",50,60,50,60,5,0.1312527109246012,-0.12099160405763681,3000,0.008028558198046926,0.037839550539614755,0,40,10.280011341439968,0.5714285714285714
"(5, 17)",50,41,50,41,3,0.1312527109246012,0.1391955818852807,2050,0.008028558198046926,0.01617795413120586,0,22,5.561945951103617,0.3188405797101449
